Date,Day_of_the _week,App (Use all CAPITALS),Minutes,Category
8/21/23,Monday,YOUTUBE,150,Entertainment
8/21/23,Monday,INSTAGRAM,31,Social Media
8/21/23,Monday,PHOTOS ,12,Other
8/21/23,Monday,CLOCK,6,Other
8/22/23,Tuesday,CAMERA,137,Other
8/22/23,Tuesday,INSTAGRAM,61,Social Media
8/22/23,Tuesday,YOUTUBE,39,Entertainment
8/22/23,Tuesday,TWITTER,20,Social Media
8/22/23,Tuesday,PHOTOS ,19,Other
8/23/23,Wednesday,INSTAGRAM,115,Social Media
8/23/23,Wednesday,YOUTUBE,29,Entertainment
8/23/23,Wednesday,MESSAGES,24,Social Media
8/23/23,Wednesday,SUPERSTAR THE BOYZ,15,Entertainment
8/23/23,Wednesday,TWITTER,13,Social Media
8/23/23,Wednesday,PHOTOS ,10,Other
8/23/23,Wednesday,CANVAS,4,Education
8/24/23,Thursday,YOUTUBE,153,Entertainment
8/24/23,Thursday,BTS ISLAND,32,Entertainment
8/24/23,Thursday,INSTAGRAM,29,Social Media
8/24/23,Thursday,BLACKPINK THE GAME,13,Entertainment
8/24/23,Thursday,SAFARI,13,Other
8/24/23,Thursday,PHOTOS ,12,Other
8/24/23,Thursday,TWITTER,12,Social Media
8/24/23,Thursday,NETFLIX,9,Education
8/25/23,Friday,YOUTUBE,149,Entertainment
8/25/23,Friday,INSTAGRAM,120,Social Media
8/25/23,Friday,SUPERSTAR YG,24,Entertainment
8/25/23,Friday,TWITTER,19,Social Media
8/25/23,Friday,CAPCUT,15,Social Media
8/25/23,Friday,SUPERSTAR THE BOYZ,12,Entertainment
8/25/23,Friday,PHOTOS ,10,Other
8/26/23,Saturday,YOUTUBE,138,Entertainment
8/26/23,Saturday,SAFARI,113,Other
8/26/23,Saturday,DRAMACOOL,112,Entertainment
8/26/23,Saturday,INSTAGRAM,38,Social Media
8/26/23,Saturday,SUPERSTAR THE BOYZ,16,Entertainment
8/26/23,Saturday,BTS ISLAND,11,Entertainment
8/27/23,Sunday,INSTAGRAM,148,Social Media
8/27/23,Sunday,YOUTUBE,128,Entertainment
8/27/23,Sunday,BTS ISLAND,17,Entertainment
8/27/23,Sunday,TWITTER,11,Social Media
8/27/23,Sunday,GMAIL,7,Other